"id_sscc","Periodo","Edad_media_de_la_población","Porcentaje_de_población_menor_de_18_años","Porcentaje_de_población_de_65_y_más_años","Tamaño_medio_del_hogar","Porcentaje_de_hogares_unipersonales","Población","Porcentaje_de_población_española","Índice_de_Gini","Distribución_de_la_renta_P80/P20","Renta_neta_media_por_persona_","Renta_neta_media_por_hogar","Media_de_la_renta_por_unidad_de_consumo","Mediana_de_la_renta_por_unidad_de_consumo","Renta_bruta_media_por_persona","Renta_bruta_media_por_hogar","tipo_eleccion","anyo_proceso","mes_proceso","id_ca","n_censo_ine","n_escrutinio_censo","n_escrutinio_censo_extr","n_votantes_censo_extr","n_partici_primer_av","n_partici_segund_av","n_vot_blanco","n_vot_nulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","N_VOTOS","P_PSOE","P_PP","P_Cs","P_ERC","P_VOX","P_JUNTS","P_PODEMOS_IU","P_CUP"
"0801901040",2019,42.7,9.2,17.5,2.04,42.8,1083,54.6,35.2,3.4,13296,27752,18504,15750,16169,33746,2,2019,11,9,548,548,0,0,222,294,1,1,60,27,12,97,19,34,0,60,0,0,28,337,0.178041543026706,0.0801186943620178,0.0356083086053412,0.287833827893175,0.056379821958457,0.100890207715134,0.178041543026706,0.0830860534124629
"0801901041",2019,38.3,8.6,10.2,2.02,44.6,1523,45.9,33.4,2.7,11300,23468,15788,13650,13567,28177,2,2019,11,9,667,667,0,0,216,303,0,0,64,31,20,79,28,33,0,64,0,0,35,354,0.180790960451977,0.0875706214689266,0.0564971751412429,0.22316384180791,0.0790960451977401,0.0932203389830508,0.180790960451977,0.0988700564971751
"0801901042",2019,46.2,11.4,24.3,2.28,35.7,1682,76.2,32.2,2.7,12915,29776,18642,16450,15499,35735,2,2019,11,9,1199,1199,0,0,488,656,5,3,147,54,26,205,26,67,0,141,0,0,48,714,0.205882352941176,0.0756302521008403,0.0364145658263305,0.287114845938375,0.0364145658263305,0.0938375350140056,0.197478991596639,0.0672268907563025
"0801901043",2019,40.5,11.8,12.3,2.06,41.7,1608,58.6,38.7,3.4,17049,36613,24704,20650,22650,48640,2,2019,11,9,861,861,0,0,287,478,4,1,106,20,35,121,21,62,0,125,0,0,61,551,0.192377495462795,0.0362976406533575,0.0635208711433757,0.219600725952813,0.0381125226860254,0.112522686025408,0.226860254083485,0.11070780399274
"0801901044",2019,41.4,12.3,14,2.07,43.5,1395,60.5,42.7,4.5,17041,36057,23880,17150,21754,46029,2,2019,11,9,740,740,0,0,276,418,2,6,80,34,17,102,23,61,0,94,0,0,61,472,0.169491525423729,0.0720338983050847,0.0360169491525424,0.216101694915254,0.048728813559322,0.129237288135593,0.199152542372881,0.129237288135593
"0801901045",2019,40.5,7.6,12.4,2.01,44.5,1911,49.4,36.8,3,13631,28257,19167,15750,17071,35387,2,2019,11,9,912,912,0,0,308,450,0,0,127,40,12,115,29,44,0,112,0,0,48,527,0.240986717267552,0.0759013282732448,0.0227703984819734,0.218216318785579,0.0550284629981025,0.0834914611005693,0.212523719165085,0.0910815939278937
"0801901046",2019,39.7,8.5,11.9,2.14,42.4,1736,47.9,35.4,3.3,12613,27948,18319,15750,16427,36400,2,2019,11,9,803,803,0,0,261,374,1,2,87,26,23,83,16,59,0,109,0,0,33,436,0.19954128440367,0.0596330275229358,0.0527522935779817,0.190366972477064,0.036697247706422,0.135321100917431,0.25,0.0756880733944954
"0801901047",2019,42.1,9.3,16,2.03,46.6,1634,54.1,37.8,3.5,12513,26614,17541,14350,15451,32864,2,2019,11,9,845,845,0,0,276,421,3,2,108,31,24,87,23,56,0,121,0,0,36,486,0.222222222222222,0.0637860082304527,0.0493827160493827,0.179012345679012,0.0473251028806584,0.11522633744856,0.248971193415638,0.0740740740740741
"0801901048",2019,39.4,13,12.6,2.28,38.9,2065,53.9,37,3.5,9785,23026,14020,11550,11594,27281,2,2019,11,9,995,995,0,0,281,490,3,5,131,30,39,96,27,35,0,117,0,0,35,510,0.256862745098039,0.0588235294117647,0.0764705882352941,0.188235294117647,0.0529411764705882,0.0686274509803922,0.229411764705882,0.0686274509803922
"0801901049",2019,41,12.3,15.1,2.42,35.8,1363,51.5,36.8,3.4,13835,35210,20660,15750,17581,44742,2,2019,11,9,728,728,0,0,219,387,2,0,96,36,23,83,23,67,0,85,0,0,41,454,0.211453744493392,0.079295154185022,0.0506607929515418,0.182819383259912,0.0506607929515418,0.147577092511013,0.187224669603524,0.0903083700440529
